[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:09 - 00:00:12]   살았다 화장실 화장실 어딨어
[00:00:15 - 00:00:17]   깜짝이야 누구세요
[00:00:20 - 00:00:21]   뭐야
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:32 - 00:00:33]   사장님
[00:00:33 - 00:00:35]   고생이 많다야
[00:00:35 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:39]   아니 안 들려? 오냐고
[00:00:40 - 00:00:41]   여보세요
[00:00:41 - 00:00:43]   뭐해 안 오고
[00:00:43 - 00:00:45]   누구시냐고
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐 뒤에서?
[00:00:48 - 00:00:51]   기름도 안 넣고 상황대기 하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난
[00:00:52 - 00:00:55]   빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:58]   뭐하냐 안 자고
[00:00:58 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:02 - 00:01:04]   에이 그러지마
[00:01:04 - 00:01:06]   다쳐
[00:01:26 - 00:01:27]   놔
[00:01:37 - 00:01:38]   놔
[00:01:47 - 00:01:48]   놔
[00:01:48 - 00:01:49]   놔
[00:01:49 - 00:01:50]   놔
[00:01:55 - 00:01:56]   놔
[00:02:13 - 00:02:15]   야 그냥 들어가
[00:02:15 - 00:02:18]   왜 불러댕기고 지랄이야 정신사납게
[00:02:18 - 00:02:19]   차 안 상했어?
[00:02:19 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:22 - 00:02:24]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:25 - 00:02:26]   야 이씨
[00:02:26 - 00:02:27]   얘야?
[00:02:28 - 00:02:30]   변호사 빌려
[00:02:32 - 00:02:35]   나 전화를 한통만 한다니까 깜빡했네
[00:02:35 - 00:02:36]   부재중이다
[00:02:37 - 00:02:38]   야 손오철
[00:02:38 - 00:02:41]   나 전화 한통 올테니까 너 여기 걱정말고 있어
[00:02:41 - 00:02:43]   아니 잠깐만
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손대가지고
[00:02:49 - 00:02:53]   걔 지금 밥 먹을 때 턱받이하고 침 질질하면서 밥 먹는다니까
[00:02:53 - 00:02:55]   밥 좀 막 좋아하고
[00:02:55 - 00:02:59]   아 얘 이거 사람 때리고 싶어서 형사되가지고 걸치아픈데 진짜
