[00:00:00 - 00:00:02]   장비를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 지킬 수 있을 것 같아요
[00:00:07 - 00:00:08]   아이고
[00:00:08 - 00:00:10]   살았다 화장실
[00:00:10 - 00:00:12]   화장실 어딨어
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:21 - 00:00:22]   뭐야
[00:00:25 - 00:00:27]   하마터면 바지에 쌀 뻔했네
[00:00:27 - 00:00:29]   빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:33 - 00:00:34]   사장님
[00:00:34 - 00:00:35]   고생이 많다야
[00:00:35 - 00:00:37]   우리 식구들 아직 안 왔니
[00:00:37 - 00:00:38]   아니 안 들려
[00:00:38 - 00:00:39]   오냐고
[00:00:41 - 00:00:42]   여보세요
[00:00:42 - 00:00:43]   뭐해 안 오고
[00:00:44 - 00:00:46]   누구시냐고
[00:00:46 - 00:00:47]   뭐
[00:00:47 - 00:00:48]   뭐 뒤에서
[00:00:48 - 00:00:51]   기름도 안 넣고 상황 대기하고 있었다고
[00:00:51 - 00:00:53]   나 진짜 장난
[00:00:53 - 00:00:55]   빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:57]   뭐하냐 안 자고
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐
[00:01:02 - 00:01:03]   그러지마
[00:01:04 - 00:01:05]   다쳐
[00:01:25 - 00:01:26]   아
[00:01:27 - 00:01:28]   아
[00:01:48 - 00:01:49]   아
[00:01:49 - 00:01:50]   아
[00:01:50 - 00:01:51]   아
[00:01:51 - 00:01:52]   아
[00:01:52 - 00:01:53]   아
[00:01:53 - 00:01:54]   아
[00:01:55 - 00:01:56]   아
[00:01:56 - 00:01:57]   아
[00:01:57 - 00:01:58]   아
[00:02:02 - 00:02:03]   으
[00:02:03 - 00:02:04]   아
[00:02:04 - 00:02:05]   아
[00:02:05 - 00:02:06]   아
[00:02:06 - 00:02:07]   아
[00:02:07 - 00:02:08]   아
[00:02:08 - 00:02:09]   아
[00:02:10 - 00:02:11]   아
[00:02:12 - 00:02:13]   아
[00:02:13 - 00:02:14]   아
[00:02:14 - 00:02:15]   아
[00:02:16 - 00:02:17]   야 들어가
[00:02:17 - 00:02:19]   왜 불러댕기고 지랄이야 정신 사납게
[00:02:19 - 00:02:20]   차 안 상했어
[00:02:20 - 00:02:23]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야
[00:02:23 - 00:02:25]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:25 - 00:02:26]   아
[00:02:26 - 00:02:27]   야이씨
[00:02:27 - 00:02:28]   얘야?
[00:02:28 - 00:02:29]   열어 이 새끼야
[00:02:30 - 00:02:31]   변호사 빌려
