[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:12]   야, 화장실 어딨어? 아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기.
[00:00:31 - 00:00:32]   사장님.
[00:00:32 - 00:00:34]   아, 야, 고생이 많다.
[00:00:34 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:38]   아니, 안 들려? 오냐고.
[00:00:40 - 00:00:41]   여보세요.
[00:00:41 - 00:00:43]   아, 뭐해, 안 오고.
[00:00:43 - 00:00:45]   누구시냐고.
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:50]   기름도 안 넣고 상황대기하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난.
[00:00:52 - 00:00:55]   빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:58]   뭐하냐, 안 차고.
[00:00:58 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐.
[00:01:01 - 00:01:03]   에이, 그러지 마.
[00:01:04 - 00:01:05]   다쳐.
[00:01:26 - 00:01:27]   야.
[00:01:29 - 00:01:30]   야.
[00:01:33 - 00:01:35]   야, 야, 야.
[00:01:35 - 00:01:36]   야.
[00:01:42 - 00:01:43]   야.
[00:01:44 - 00:01:45]   야, 나 죽었어.
[00:01:46 - 00:01:47]   야, 나 죽었어.
[00:01:47 - 00:01:48]   야.
[00:01:50 - 00:01:51]   야.
[00:01:55 - 00:01:56]   야.
[00:01:58 - 00:01:59]   왜.
[00:02:09 - 00:02:11]   아, 뭐, 공장 그만.
[00:02:11 - 00:02:12]   야, 그냥 들어가.
[00:02:12 - 00:02:15]   왜 굴러다니고 지랄이야, 정신사납게.
[00:02:15 - 00:02:16]   차 안 상했어?
[00:02:16 - 00:02:19]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:19 - 00:02:21]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:22 - 00:02:23]   야, 이 새끼야.
[00:02:23 - 00:02:24]   얘야?
[00:02:24 - 00:02:25]   일어나, 이 새끼야.
[00:02:25 - 00:02:27]   변호사 불러.
[00:02:28 - 00:02:31]   나 전화를 한 통 안 한다고 깜빡했네.
[00:02:31 - 00:02:33]   부재중이다.
[00:02:33 - 00:02:34]   야, 손호철.
[00:02:34 - 00:02:37]   나 전화 한 통 올 테니까 너 여기 걱정 말고 있어.
[00:02:38 - 00:02:39]   아니, 잠깐만.
[00:02:40 - 00:02:42]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:43 - 00:02:45]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:46 - 00:02:49]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:50 - 00:02:51]   밥 주면 막 좋아하고.
[00:02:52 - 00:02:54]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고.
[00:02:54 - 00:02:55]   골치 아픈데, 진짜.
[00:02:58 - 00:02:59]   이리 와.
[00:02:59 - 00:03:00]   괜찮아, 잡아.
[00:03:00 - 00:03:01]   잡아, 두 손으로.
[00:03:02 - 00:03:04]   경찰을 때리면 어떡하냐.
[00:03:04 - 00:03:05]   그것도 등기로.
[00:03:06 - 00:03:07]   네?
