[00:00:00 - 00:00:01]   장비를 꺼내, 아줌마, 빨리.
[00:00:01 - 00:00:04]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:12]   야, 화장실 어딨어? 아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:31 - 00:00:32]   사장님.
[00:00:32 - 00:00:34]   고생이 많다, 야.
[00:00:34 - 00:00:35]   우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:38]   아니, 안 들려? 오냐고.
[00:00:39 - 00:00:40]   여보세요.
[00:00:40 - 00:00:42]   아, 뭐해, 안 오고.
[00:00:42 - 00:00:44]   야, 누구시냐고.
[00:00:44 - 00:00:46]   뭐?
[00:00:46 - 00:00:47]   뭐, 뒤에서?
[00:00:47 - 00:00:50]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:50 - 00:00:51]   나 진짜 장난...
[00:00:51 - 00:00:54]   아, 빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:58]   뭐 하냐, 안 차고?
[00:00:58 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:01 - 00:01:04]   에이, 그러지 마.
[00:01:04 - 00:01:06]   다쳐.
[00:01:29 - 00:01:30]   뭐야?
[00:01:34 - 00:01:35]   무슨 소리야.
[00:01:35 - 00:01:37]   뭔데?
[00:01:46 - 00:01:47]   뭐하는 거야.
[00:01:47 - 00:01:49]   강아지도 우리에게...
[00:01:59 - 00:02:00]   왜?
[00:02:11 - 00:02:13]   공장 그만!
[00:02:13 - 00:02:14]   야, 그냥 들어가.
[00:02:14 - 00:02:17]   왜 굴러다니고 지랄이야. 정신사납게.
[00:02:17 - 00:02:18]   차 안 상했어?
[00:02:18 - 00:02:21]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:21 - 00:02:23]   내가 그랬지. 사람 다쳤나 먼저 물어보라고.
[00:02:24 - 00:02:25]   야, 이 새끼야.
[00:02:25 - 00:02:26]   얘야?
[00:02:27 - 00:02:29]   변호사입니다!
[00:02:30 - 00:02:33]   저놈의 새끼야. 내가 전화를 한 통 안 했는데 깜빡했네.
[00:02:34 - 00:02:35]   부재중이다.
[00:02:35 - 00:02:37]   야, 손오철.
[00:02:37 - 00:02:40]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:40 - 00:02:42]   아니, 잠깐만.
[00:02:42 - 00:02:45]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:45 - 00:02:48]   저때 우리 하우스 털었을 때 애 괜히 손대서
[00:02:48 - 00:02:52]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:52 - 00:02:54]   밥 주면 막 좋아하고.
[00:02:54 - 00:02:56]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고.
[00:02:56 - 00:02:58]   겉이 아픈데, 진짜.
[00:03:00 - 00:03:02]   이리 와. 괜찮아, 잡아.
[00:03:02 - 00:03:04]   잡아, 두 손으로. 그렇지.
[00:03:04 - 00:03:08]   경찰을 때리면 어떡하냐. 그것도 등기로.
[00:03:08 - 00:03:09]   네?
[00:03:09 - 00:03:12]   그 징금을 일단 내려놓고. 내려놔, 빨리.
[00:03:12 - 00:03:13]   정당방위다.
[00:03:14 - 00:03:16]   이 새끼가.
[00:03:17 - 00:03:20]   말로 해, 말로. 말로. 말로, 말로, 말로.
[00:03:20 - 00:03:22]   놔, 놔.
[00:03:22 - 00:03:25]   똑바로 앉아. 똑바로 앉아, 인마.
[00:03:29 - 00:03:32]   힘들지? 타고 가.
[00:03:32 - 00:03:34]   물 줘?
[00:03:37 - 00:03:39]   나 서울 가면 할 일 많거든.
[00:03:39 - 00:03:41]   그냥 타고 가자.
[00:03:46 - 00:03:47]   갑시다.
[00:03:47 - 00:03:48]   그래.
[00:03:48 - 00:03:51]   니 친구들하고 같이 타고 가면 얼마나 좋아.
[00:03:53 - 00:03:54]   가자.
[00:03:54 - 00:04:00]   신진물산 부사장으로 승진하실 조태오 기획 조정실장. 조태오.
[00:04:00 - 00:04:03]   혹시 제가 아는 신진물산...
[00:04:03 - 00:04:04]   아, 왜 그러세요.
[00:04:04 - 00:04:06]   모는 자리인데 그냥 잔판하게 받으세요.
[00:04:06 - 00:04:08]   근데 윤 사장하고는 어떡해요?
[00:04:08 - 00:04:13]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:04:13 - 00:04:16]   아이고, 밥 한번 산 거 가지고.
[00:04:16 - 00:04:18]   아시겠지만 나이 이제 훨씬 어려워.
[00:04:22 - 00:04:24]   재벌하고 술을 다 마셔보고.
[00:04:24 - 00:04:27]   근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:04:44 - 00:04:45]   그만해.
[00:04:53 - 00:04:55]   재벌은 이렇게 놀아야 되나?
[00:05:03 - 00:05:05]   죄송합니다.
[00:05:05 - 00:05:07]   재벌이 이렇게 밖에 못 놉니다.
[00:05:07 - 00:05:09]   용서해 주십시오.
[00:05:14 - 00:05:17]   아, 우리 용사님 안 속이시네.
[00:05:17 - 00:05:19]   베테랑이시네, 베테랑.
[00:05:19 - 00:05:21]   아, 멋있다.
[00:05:21 - 00:05:22]   창피해.
[00:05:25 - 00:05:27]   아, 놀랐지.
[00:05:28 - 00:05:32]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요.
[00:05:33 - 00:05:36]   윤 사장, 조태오 씨 재미있게 사시네.
[00:05:36 - 00:05:40]   태오 씨, 근데 쟤는 짓고 살지 맙시다.
