[00:00:00 - 00:00:02]   담배를 꺼내 아줌마야 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스 쓸거 갈게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:12]   야 화장실 어딨냐
[00:00:16 - 00:00:17]   깜짝이야
[00:00:17 - 00:00:18]   누구세요
[00:00:21 - 00:00:22]   뭐야
[00:00:25 - 00:00:27]   하마터면 바지에 쌀뻔했네
[00:00:27 - 00:00:29]   빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:32 - 00:00:33]   사장님
[00:00:33 - 00:00:35]   아 야 고생이 많다야
[00:00:35 - 00:00:37]   우리 식구들 아직 안 왔니?
[00:00:37 - 00:00:39]   아니 안 들려? 오냐고
[00:00:41 - 00:00:42]   여보세요
[00:00:42 - 00:00:44]   아 뭐해 안 오고
[00:00:44 - 00:00:46]   누구시냐고
[00:00:46 - 00:00:47]   뭐?
[00:00:48 - 00:00:49]   뭐 뒤에서?
[00:00:49 - 00:00:51]   기름도 안 넣고 상황대기 하고 있었다고?
[00:00:52 - 00:00:53]   나 진짜 장난
[00:00:53 - 00:00:56]   아 빨리 와 배고파 뒤지겠어
[00:00:57 - 00:00:59]   뭐하냐 안 차고?
[00:00:59 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:03 - 00:01:04]   에이 그러지마
[00:01:05 - 00:01:06]   다쳐
[00:01:27 - 00:01:28]   으악
[00:01:36 - 00:01:37]   에헤이
[00:01:43 - 00:01:44]   으악
[00:01:45 - 00:01:46]   으악
[00:01:47 - 00:01:48]   으악
[00:01:49 - 00:01:50]   으악
[00:01:52 - 00:01:53]   으악
[00:01:56 - 00:01:57]   으악
[00:01:58 - 00:01:59]   으악
[00:02:01 - 00:02:02]   으악
[00:02:03 - 00:02:04]   으악
[00:02:05 - 00:02:06]   으악
[00:02:06 - 00:02:07]   으악
[00:02:08 - 00:02:09]   으악
[00:02:10 - 00:02:11]   으악
[00:02:12 - 00:02:13]   으악
[00:02:15 - 00:02:16]   야 그냥 들어가
[00:02:16 - 00:02:18]   왜 불러댕기고 지랄이야 정신사납게
[00:02:18 - 00:02:19]   차 안 상했어?
[00:02:19 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:22 - 00:02:24]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:24 - 00:02:25]   으악
[00:02:25 - 00:02:26]   야이씨
[00:02:26 - 00:02:27]   얘야?
[00:02:28 - 00:02:29]   변호사 불러
[00:02:31 - 00:02:34]   아이씨 나 전화를 한통 안다니까 깜빡했네
[00:02:34 - 00:02:35]   부재중이다
[00:02:36 - 00:02:37]   야 서도철
[00:02:37 - 00:02:40]   나 전화 한통 올테니까 너 여기 걱정말고 있어
[00:02:41 - 00:02:42]   아잇 잠깐만
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손대가지고
[00:02:49 - 00:02:52]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:53 - 00:02:54]   밥 주면 막 좋아하고
[00:02:55 - 00:02:58]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 거참 아픈데 진짜
[00:03:01 - 00:03:02]   이리와
[00:03:02 - 00:03:04]   이리와 괜찮아 임마 잡아
[00:03:04 - 00:03:05]   잡아 두손으로
[00:03:06 - 00:03:09]   야 경찰을 때리면 어떡하냐 그것도 등기로
[00:03:09 - 00:03:10]   예
[00:03:10 - 00:03:13]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:13 - 00:03:14]   정당방위다
[00:03:15 - 00:03:16]   으악
[00:03:16 - 00:03:17]   이 씨발놈의 새끼가
[00:03:18 - 00:03:21]   말로야 말로 말로 말로 말로 말로
