[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:13]   야, 화장실 어딨어? 아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:27]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:30]   너 새끼, 너 아까 저기, 낮에 저기.
[00:00:31 - 00:00:31]   사장님.
[00:00:31 - 00:00:33]   아, 야, 고생이 많다, 야.
[00:00:33 - 00:00:35]   야, 우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니, 안 들려? 오냐고.
[00:00:39 - 00:00:40]   여보세요.
[00:00:41 - 00:00:42]   아, 뭐해, 안 오고.
[00:00:42 - 00:00:44]   야, 누구시냐고.
[00:00:44 - 00:00:45]   뭐?
[00:00:46 - 00:00:47]   뭐, 뒤에서?
[00:00:47 - 00:00:49]   아니, 기름도 안 넣고 상황 대기하고 있었다고?
[00:00:50 - 00:00:52]   나 진짜 장난.
[00:00:52 - 00:00:54]   아, 빨리 와. 배고파, 뒤지겠어.
[00:00:55 - 00:00:57]   뭐하냐, 안 자고.
[00:00:57 - 00:00:59]   너 어디 식구들 이런 거 가지고 작업하냐.
[00:01:00 - 00:01:02]   에이, 그러지 마.
[00:01:03 - 00:01:04]   다쳐.
[00:01:25 - 00:01:26]   놔.
[00:01:46 - 00:01:47]   놔, 놔, 놔.
[00:01:55 - 00:01:56]   놔, 놔, 놔.
[00:02:13 - 00:02:14]   야, 그냥 들어가.
[00:02:14 - 00:02:16]   왜 굴러댕기고 지랄이야, 정신 사납게.
[00:02:17 - 00:02:18]   차 안 상했어?
[00:02:18 - 00:02:21]   형님이 이러니까 맨날 똥 차 소리나 듣고 승진이 안 되는 거야.
[00:02:21 - 00:02:23]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:24 - 00:02:25]   야, 이 새끼야.
[00:02:25 - 00:02:26]   얘야?
[00:02:26 - 00:02:27]   일어나, 이 새끼야.
[00:02:27 - 00:02:29]   변호사 빌려.
[00:02:30 - 00:02:31]   엄마, 시발.
[00:02:31 - 00:02:33]   내가 전화를 한 통만 한다니까 깜빡했네.
[00:02:34 - 00:02:35]   부재중이라니까.
[00:02:35 - 00:02:37]   야, 서도철.
[00:02:37 - 00:02:40]   내가 전화 한 통 올 테니까 너 여기 걱정 말고 있어.
[00:02:40 - 00:02:42]   아니, 잠깐만.
[00:02:42 - 00:02:45]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:45 - 00:02:48]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:48 - 00:02:52]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:52 - 00:02:54]   밥 좀 막 좋아하고.
[00:02:54 - 00:02:58]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데, 진짜.
[00:03:01 - 00:03:02]   괜찮아, 임마.
[00:03:02 - 00:03:03]   잡아.
[00:03:03 - 00:03:04]   잡아, 두 손으로.
[00:03:04 - 00:03:06]   경찰을 때리면 어떡하냐.
[00:03:06 - 00:03:08]   그것도 등기로.
[00:03:08 - 00:03:09]   네?
[00:03:09 - 00:03:11]   그 징금을 일단 내려놓고.
[00:03:11 - 00:03:12]   내려놔, 빨리.
[00:03:12 - 00:03:14]   정당방위다, 이 새끼야.
[00:03:14 - 00:03:16]   이 새끼가.
[00:03:17 - 00:03:19]   말로 해, 말로.
