[00:00:00 - 00:00:02]   당귤 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   아 잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:09 - 00:00:12]   아유 살았다 야 화장실 화장실 어딨냐
[00:00:16 - 00:00:18]   깜짝이야 누구세요
[00:00:21 - 00:00:22]   뭐야
[00:00:25 - 00:00:28]   하마터면 바지에 쌀뻔했네 빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:31]   너 새끼 너 아까 저기 낮에 저기
[00:00:32 - 00:00:33]   사장님
[00:00:33 - 00:00:34]   아 야 고생이 많다 야
[00:00:35 - 00:00:36]   야 우리 식구들 아직 안 왔니
[00:00:36 - 00:00:38]   아니 안 들려? 오냐고
[00:00:41 - 00:00:42]   여보세요
[00:00:42 - 00:00:43]   아 뭐해 안 오고
[00:00:43 - 00:00:45]   야 누구시냐고
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐 뒤에서?
[00:00:48 - 00:00:50]   기름도 안 넣고 상황대게 하고 있었다고?
[00:00:51 - 00:00:53]   나 진짜 장난
[00:00:53 - 00:00:55]   아 빨리 와 배고파 뒤지겠어
[00:00:58 - 00:00:59]   뭐하냐 안 자고
[00:00:59 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:03 - 00:01:05]   에이 그러지마
[00:01:06 - 00:01:07]   다쳐
[00:01:29 - 00:01:30]   야
[00:01:43 - 00:01:44]   야
[00:01:45 - 00:01:46]   야
[00:01:47 - 00:01:48]   야
[00:01:49 - 00:01:50]   야
[00:01:50 - 00:01:51]   야
[00:01:53 - 00:01:54]   야
[00:01:54 - 00:01:55]   야
[00:01:55 - 00:01:56]   야
[00:01:58 - 00:01:59]   야
[00:02:01 - 00:02:02]   에이
[00:02:02 - 00:02:03]   야
[00:02:06 - 00:02:07]   야
[00:02:07 - 00:02:08]   야
[00:02:12 - 00:02:13]   아이고
[00:02:13 - 00:02:14]   혼자 그만
[00:02:15 - 00:02:16]   야 그냥 들어가
[00:02:16 - 00:02:18]   왜 굴러다니고 지랄이야 정신사납게
[00:02:18 - 00:02:19]   차 안 상했어?
[00:02:19 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:22 - 00:02:24]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:25 - 00:02:26]   야 이 새끼야
[00:02:26 - 00:02:27]   얘야?
[00:02:27 - 00:02:28]   일어나 이 새끼야
[00:02:29 - 00:02:30]   변호사 불러
[00:02:32 - 00:02:34]   나 전화를 한통 안한다고 깜빡했네
[00:02:35 - 00:02:36]   부재중이다
[00:02:37 - 00:02:38]   야 손오철
[00:02:38 - 00:02:41]   나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:41 - 00:02:43]   아니 잠깐만
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 카바를 못해줘요
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손대가지고
[00:02:49 - 00:02:53]   걔 지금 밥 먹을 때 턱받이하고 침 질질하면서 밥 먹는다니까
[00:02:53 - 00:02:55]   밥 주면 막 좋아하고
[00:02:55 - 00:02:59]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 겉이 아픈데 진짜
[00:03:03 - 00:03:04]   일로와
[00:03:04 - 00:03:05]   일로와 괜찮아 잡아
[00:03:05 - 00:03:06]   잡아 두손으로
[00:03:07 - 00:03:10]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:11 - 00:03:12]   예?
[00:03:12 - 00:03:14]   그 증금을 일단 내려놓고 내려놔 빨리
[00:03:15 - 00:03:16]   정당방위다
[00:03:17 - 00:03:18]   이 새끼가
[00:03:20 - 00:03:23]   말로해 말로 말로 말로 말로
[00:03:23 - 00:03:24]   놔 놔 놔 놔
[00:03:25 - 00:03:26]   똑바로 앉아
[00:03:26 - 00:03:27]   똑바로 앉아 인마
[00:03:32 - 00:03:33]   힘들지?
[00:03:33 - 00:03:34]   타고가
[00:03:35 - 00:03:36]   물 줘?
[00:03:40 - 00:03:42]   나 그 서울가면 할일 많거든
[00:03:42 - 00:03:44]   그냥 타고가자
[00:03:49 - 00:03:50]   빨리 갑시다
[00:03:51 - 00:03:52]   그래
[00:03:52 - 00:03:55]   니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:56 - 00:03:57]   가자
[00:03:58 - 00:04:02]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:04:02 - 00:04:04]   조태오 조태오
[00:04:04 - 00:04:06]   저 혹시 제가 아는 신진물산
[00:04:06 - 00:04:07]   아 왜 그러세요
[00:04:08 - 00:04:10]   노는 자리인데 그냥 자수 편하게 받으세요
[00:04:10 - 00:04:12]   근데 윤사장하고는 어떻게 해야 돼?
[00:04:12 - 00:04:16]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:16 - 00:04:19]   아유 밥 한판 산거 가지고
[00:04:19 - 00:04:21]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:23 - 00:04:27]   내가 재벌하고 술을 다 마셔보고
[00:04:27 - 00:04:30]   야 근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:31 - 00:04:32]   아 팔찌 먹고싶다
[00:04:50 - 00:04:51]   그만해
[00:04:51 - 00:04:52]   그만해
