[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:08 - 00:00:10]   살았다 야 화장실
[00:00:10 - 00:00:12]   야 화장실 어딨냐
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:20 - 00:00:21]   뭐야
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:28 - 00:00:31]   너 새끼 너 아까 저기 낮에 저기
[00:00:31 - 00:00:32]   사장님
[00:00:32 - 00:00:34]   고생이 많다야
[00:00:34 - 00:00:35]   우리 식구들 아직 안 왔니
[00:00:35 - 00:00:37]   아니 안 들려 뭐냐고
[00:00:39 - 00:00:40]   여보세요
[00:00:40 - 00:00:42]   뭐해 안 오고
[00:00:42 - 00:00:44]   누구시냐고
[00:00:44 - 00:00:45]   뭐
[00:00:46 - 00:00:49]   뭐 뒤에서 기름도 안 넣고 상황 대기하고 있었다고
[00:00:50 - 00:00:51]   나 진짜 장난
[00:00:51 - 00:00:54]   빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:57]   뭐하냐 안차고
[00:00:57 - 00:00:59]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:02 - 00:01:03]   그러지마
[00:01:04 - 00:01:05]   다쳐
[00:01:28 - 00:01:29]   왜
[00:01:35 - 00:01:36]   뭐하냐
[00:01:39 - 00:01:40]   뭐하는거야
[00:01:44 - 00:01:45]   나중에
[00:01:46 - 00:01:47]   잘못했어
[00:01:47 - 00:01:48]   살려줘
[00:01:50 - 00:01:51]   이 새끼야
[00:01:52 - 00:01:53]   닮았어
[00:01:54 - 00:01:56]   탓이 없네
[00:01:58 - 00:01:59]   왜
[00:02:10 - 00:02:11]   공장 그만
[00:02:12 - 00:02:13]   야 그냥 들어가
[00:02:13 - 00:02:14]   왜 굴러댕기고 지랄이야
[00:02:14 - 00:02:15]   정신사납게
[00:02:15 - 00:02:16]   차 안상했어?
[00:02:16 - 00:02:19]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:19 - 00:02:21]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:23 - 00:02:24]   얘야?
[00:02:25 - 00:02:26]   변호사 불러
[00:02:28 - 00:02:31]   나 전화를 한통 안다니까 깜빡했네
[00:02:32 - 00:02:33]   부재중이다
[00:02:34 - 00:02:35]   야 손오철
[00:02:35 - 00:02:38]   나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:38 - 00:02:40]   아니 잠깐만
[00:02:40 - 00:02:43]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:43 - 00:02:46]   저때 우리 하우스 털었을때 애 괜히 손대가지고
[00:02:46 - 00:02:49]   걔 지금 밥 먹을때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:50 - 00:02:51]   밥주면 막 좋아하고
