[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스 쓸 거 갈게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:12]   야, 화장실 어딨냐? 아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:19 - 00:00:20]   뭐야?
[00:00:23 - 00:00:25]   하마터면 바지에 쌀 뻔했네.
[00:00:25 - 00:00:27]   빨리 좀 움직이지 그랬냐.
[00:00:27 - 00:00:30]   너 새끼, 너 아까 저기 낮에 저기.
[00:00:30 - 00:00:31]   사장님.
[00:00:31 - 00:00:33]   아, 야, 고생이 많다, 야.
[00:00:33 - 00:00:35]   우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니, 안 들려? 오냐고.
[00:00:39 - 00:00:40]   여보세요.
[00:00:40 - 00:00:42]   아, 뭐해, 안 오고.
[00:00:42 - 00:00:44]   누구시냐고.
[00:00:44 - 00:00:45]   뭐?
[00:00:46 - 00:00:47]   뭐, 뒤에서?
[00:00:47 - 00:00:49]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:49 - 00:00:51]   나 진짜 장난.
[00:00:51 - 00:00:53]   빨리 와. 배고파, 뒤지겠어.
[00:00:53 - 00:00:55]   뭐하냐, 안 자고.
[00:00:55 - 00:00:57]   너 어디 식구들 이런 거 가지고 작업하냐.
[00:00:59 - 00:01:01]   에이, 그러지 마.
[00:01:02 - 00:01:03]   다쳐.
[00:01:23 - 00:01:24]   놔.
[00:01:43 - 00:01:44]   놔, 놔, 놔.
[00:01:44 - 00:01:45]   놔.
[00:01:45 - 00:01:46]   놔, 놔, 놔.
[00:01:46 - 00:01:47]   놔.
[00:01:54 - 00:01:55]   놔.
[00:01:57 - 00:01:58]   왜?
[00:02:08 - 00:02:10]   아, 공장 그만.
[00:02:10 - 00:02:11]   야, 들어가.
[00:02:11 - 00:02:14]   야, 그냥 들어가. 왜 굴러다니고 지랄이야, 정신사납게.
[00:02:14 - 00:02:15]   차 안 상했어?
[00:02:15 - 00:02:18]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:18 - 00:02:20]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:21 - 00:02:22]   야, 이 새끼야.
[00:02:22 - 00:02:23]   얘야?
[00:02:23 - 00:02:24]   일어나, 이 새끼야.
[00:02:24 - 00:02:26]   변호사 불러.
[00:02:27 - 00:02:30]   아, 씨발. 내가 전화를 한 통 안 했는데 깜빡했네.
[00:02:30 - 00:02:32]   부재중이다.
[00:02:32 - 00:02:33]   야, 손호철.
[00:02:33 - 00:02:36]   내가 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:36 - 00:02:38]   아니, 잠깐만.
[00:02:38 - 00:02:41]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:41 - 00:02:44]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:44 - 00:02:48]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:48 - 00:02:50]   밥 주면 막 좋아하고.
[00:02:51 - 00:02:54]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데, 진짜.
[00:02:56 - 00:02:57]   이리 와.
[00:02:57 - 00:02:58]   이리 와, 괜찮아, 임마.
[00:02:58 - 00:02:59]   잡아.
[00:02:59 - 00:03:00]   잡아, 두 손으로.
[00:03:00 - 00:03:02]   경찰을 때리면 어떡하냐.
[00:03:02 - 00:03:04]   그것도 등기로.
[00:03:04 - 00:03:05]   네?
[00:03:05 - 00:03:07]   그 증거를 일단 내려놓고.
[00:03:07 - 00:03:08]   내려놔, 빨리.
[00:03:08 - 00:03:10]   정당방위다, 이 새끼야.
[00:03:10 - 00:03:12]   이 새끼가.
