[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:16 - 00:00:17]   깜짝이야
[00:00:17 - 00:00:18]   누구세요?
[00:00:22 - 00:00:23]   뭐야?
[00:00:26 - 00:00:28]   하마터면 바지에 쌀뻔했네
[00:00:28 - 00:00:30]   빨리 좀 움직이지 그랬냐
[00:00:30 - 00:00:33]   너 새끼 너 아까 저기 낮에 저기
[00:00:33 - 00:00:34]   사장님
[00:00:34 - 00:00:36]   고생이 많다야
[00:00:36 - 00:00:38]   우리 식구들 아직 안 왔니?
[00:00:38 - 00:00:39]   아니 안 들려?
[00:00:39 - 00:00:40]   뭐냐고
[00:00:42 - 00:00:43]   여보세요
[00:00:43 - 00:00:45]   뭐해 안 오고
[00:00:45 - 00:00:47]   누구시냐고
[00:00:47 - 00:00:48]   뭐?
[00:00:48 - 00:00:49]   뭐 뒤에서?
[00:00:49 - 00:00:52]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:52 - 00:00:54]   나 진짜 장난
[00:00:54 - 00:00:56]   빨리 와 배고파 뒤지겠어
[00:00:59 - 00:01:00]   뭐하냐 안 자고?
[00:01:00 - 00:01:03]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:05 - 00:01:06]   그러지마
[00:01:07 - 00:01:08]   다쳐
[00:01:29 - 00:01:30]   놔
[00:01:49 - 00:01:50]   놔 놔
[00:01:50 - 00:01:51]   놔
[00:01:58 - 00:01:59]   놔
[00:01:59 - 00:02:00]   놔
[00:02:00 - 00:02:01]   놔
[00:02:14 - 00:02:16]   공장 그만
[00:02:16 - 00:02:17]   야 그냥 들어가
[00:02:17 - 00:02:20]   왜 굴러댕기고 지랄이야 정신사납게
[00:02:20 - 00:02:21]   차 안 상했어?
[00:02:21 - 00:02:24]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야
[00:02:24 - 00:02:26]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:27 - 00:02:28]   야 이 새끼야
[00:02:28 - 00:02:29]   얘야?
[00:02:30 - 00:02:32]   변호사 불러
[00:02:33 - 00:02:36]   나 전화를 한 통 안 받는다니까 깜빡했네
[00:02:37 - 00:02:38]   부재중이다
[00:02:38 - 00:02:40]   야 손오철
[00:02:40 - 00:02:43]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어
[00:02:43 - 00:02:45]   아니 잠깐만
[00:02:45 - 00:02:48]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요
[00:02:48 - 00:02:51]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:51 - 00:02:55]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:55 - 00:02:57]   밥 좀 막 좋아하고
[00:02:57 - 00:03:01]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데 진짜
[00:03:04 - 00:03:05]   이리와
[00:03:05 - 00:03:08]   이리와 괜찮아 임마 잡아 두 손으로
[00:03:08 - 00:03:12]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:12 - 00:03:13]   예?
[00:03:13 - 00:03:16]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:16 - 00:03:18]   정당방위다
[00:03:18 - 00:03:20]   이 새끼가
[00:03:21 - 00:03:24]   말로 해 말로 말로 말로
[00:03:26 - 00:03:28]   똑바로 앉아 똑바로 앉아 임마
