[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:13]   야, 화장실 어딨어? 아이고, 진짜.
[00:00:15 - 00:00:18]   깜짝이야. 누구세요?
[00:00:20 - 00:00:22]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기.
[00:00:31 - 00:00:32]   사장님.
[00:00:32 - 00:00:34]   아, 야, 고생이 많다, 야.
[00:00:34 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:38]   아니, 안 들려? 오냐고.
[00:00:40 - 00:00:41]   여보세요.
[00:00:41 - 00:00:43]   아, 뭐해, 안 오고.
[00:00:43 - 00:00:45]   야, 누구시냐고.
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:51]   기름도 안 넣고 상황대기하고 있었다고?
[00:00:51 - 00:00:53]   나 진짜 장난.
[00:00:53 - 00:00:55]   아, 빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:58]   뭐하냐, 안 차고.
[00:00:58 - 00:01:01]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:02 - 00:01:04]   에이, 그러지 마.
[00:01:04 - 00:01:06]   다쳐.
[00:01:26 - 00:01:28]   놔.
[00:01:47 - 00:01:49]   놔, 놔, 놔.
[00:01:55 - 00:01:57]   놔, 놔, 놔.
[00:02:13 - 00:02:15]   야, 그냥 들어가.
[00:02:15 - 00:02:18]   왜 굴러다니고 지랄이야. 정신 사납게.
[00:02:18 - 00:02:19]   차 안 상했어?
[00:02:19 - 00:02:22]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:22 - 00:02:24]   내가 그랬지. 사람 다쳤나 먼저 물어보라고.
[00:02:25 - 00:02:26]   야, 이 새끼야.
[00:02:26 - 00:02:27]   얘야?
[00:02:27 - 00:02:28]   일어나, 이 새끼야.
[00:02:28 - 00:02:30]   변호사 빌려.
[00:02:31 - 00:02:34]   나 전화를 한 통 안 받는다니까 깜빡했네.
[00:02:34 - 00:02:36]   부재중이다.
[00:02:36 - 00:02:38]   야, 손호철.
[00:02:38 - 00:02:41]   나 전화 한 통 올 테니까 너 여기 걱정 말고 있어.
[00:02:41 - 00:02:43]   아니, 잠깐만.
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:49 - 00:02:53]   걔 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:53 - 00:02:55]   밥 좀 막 좋아하고.
[00:02:55 - 00:02:59]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데, 진짜.
[00:03:01 - 00:03:02]   이리 와.
[00:03:02 - 00:03:03]   괜찮아, 인마. 잡아.
[00:03:03 - 00:03:05]   잡아, 두 손으로. 그렇지.
[00:03:05 - 00:03:09]   경찰을 때리면 어떡하냐. 그것도 등기로.
[00:03:09 - 00:03:10]   네?
[00:03:10 - 00:03:13]   그 징금을 일단 내려놓고. 내려놔, 빨리.
[00:03:13 - 00:03:15]   정당방위다, 이 새끼야.
[00:03:15 - 00:03:17]   이 새끼가.
[00:03:18 - 00:03:21]   말로 해, 말로. 말로. 말로, 말로.
[00:03:22 - 00:03:25]   똑바로 앉아. 똑바로 앉아, 인마.
