[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스 쓸 거 갈게요.
[00:00:07 - 00:00:09]   아이고, 살았다.
[00:00:09 - 00:00:11]   야, 화장실. 화장실 어딨어?
[00:00:11 - 00:00:12]   아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:21 - 00:00:22]   뭐야?
[00:00:25 - 00:00:27]   하마터면 바지에 쌀 뻔했네.
[00:00:27 - 00:00:29]   빨리 좀 움직이지 그랬냐.
[00:00:29 - 00:00:32]   너 새끼, 너 아까 저기 낮에 저기.
[00:00:32 - 00:00:33]   사장님.
[00:00:33 - 00:00:35]   아, 고생이 많다, 야.
[00:00:35 - 00:00:37]   우리 식구들 아직 안 왔니?
[00:00:37 - 00:00:39]   아니, 안 들려? 오냐고.
[00:00:41 - 00:00:42]   여보세요.
[00:00:42 - 00:00:43]   아, 뭐해, 안 오고.
[00:00:43 - 00:00:45]   야, 누구시냐고.
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:51]   기름도 안 넣고 상황대기 하고 있었다고?
[00:00:51 - 00:00:53]   나 진짜 장난...
[00:00:53 - 00:00:55]   아, 빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:57]   뭐하냐, 안 자고.
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:02 - 00:01:03]   그러지 마.
[00:01:04 - 00:01:05]   다쳐.
[00:01:25 - 00:01:26]   놔.
[00:01:48 - 00:01:49]   놔, 놔, 놔.
[00:01:49 - 00:01:50]   놔, 놔, 놔.
[00:01:50 - 00:01:51]   놔.
[00:01:55 - 00:01:56]   놔.
[00:02:13 - 00:02:15]   어, 혼자 그만.
[00:02:15 - 00:02:16]   야, 들어가.
[00:02:16 - 00:02:19]   왜 끌러댕기고 지랄이야, 정신 사납게.
[00:02:19 - 00:02:20]   차 안 상했어?
[00:02:20 - 00:02:23]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:23 - 00:02:25]   야, 내가 그랬지. 사람 다쳤나 먼저 물어보라고.
[00:02:26 - 00:02:27]   야, 이 새끼야.
[00:02:27 - 00:02:28]   얘야?
[00:02:29 - 00:02:31]   변호사 빌려.
[00:02:32 - 00:02:35]   아이씨, 내가 전화를 한 통 안 받는다니까 깜빡했네.
[00:02:35 - 00:02:37]   부재중이네.
[00:02:37 - 00:02:38]   야, 손호철.
[00:02:38 - 00:02:42]   내가 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:42 - 00:02:44]   아니, 잠깐만.
[00:02:44 - 00:02:47]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:47 - 00:02:50]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:50 - 00:02:54]   걔야 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까.
[00:02:54 - 00:02:56]   밥 좀 막 좋아하고.
[00:02:56 - 00:02:58]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고.
[00:02:58 - 00:03:00]   골치 아픈데, 진짜.
[00:03:03 - 00:03:05]   이리 와. 괜찮아, 임마. 잡아.
[00:03:05 - 00:03:07]   잡아, 두 손으로. 그렇지.
[00:03:07 - 00:03:11]   야, 경찰을 때리면 어떡하냐. 그것도 등기로.
[00:03:11 - 00:03:12]   네?
[00:03:12 - 00:03:15]   그 징금을 일단 내려놓고. 내려놔, 빨리.
[00:03:15 - 00:03:17]   정당방위다, 이 새끼야.
[00:03:17 - 00:03:19]   이놈의 새끼가.
[00:03:20 - 00:03:23]   말로 해, 말로. 말로. 말로, 말로, 말로.
[00:03:24 - 00:03:27]   똑바로 앉아. 똑바로 앉아, 임마.
[00:03:31 - 00:03:34]   힘들지? 타고 가.
[00:03:34 - 00:03:36]   물 줘?
[00:03:36 - 00:03:38]   물 줘, 네.
[00:03:39 - 00:03:41]   나도 서울 가면 할 일 많거든.
[00:03:41 - 00:03:43]   그냥 타고 가자.
[00:03:47 - 00:03:49]   빨리 갑시다.
[00:03:49 - 00:03:53]   그래. 네 친구들하고 같이 타고 가면 얼마나 좋아.
[00:03:54 - 00:03:56]   가자.
[00:03:56 - 00:04:00]   신진물산 부사장으로 승진하실 조태오 기획 조정실장.
[00:04:00 - 00:04:03]   조태오. 조태오.
[00:04:03 - 00:04:05]   혹시 제가 아는 신진물산...
[00:04:05 - 00:04:06]   아, 왜 그러세요.
[00:04:06 - 00:04:08]   모는 자리인데 그냥 잔판하게 받으세요.
[00:04:08 - 00:04:10]   근데 윤 사장하고는 어떻게 해야 돼?
[00:04:10 - 00:04:15]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:04:15 - 00:04:18]   아이고, 밥 한판 산 거 가지고.
[00:04:18 - 00:04:20]   아시겠지만 나이 이제 훨씬 어려워.
[00:04:22 - 00:04:26]   아, 야. 재벌하고 술을 다 마셔보고.
[00:04:26 - 00:04:29]   야, 근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:04:39 - 00:04:40]   야.
[00:04:46 - 00:04:47]   그만해.
[00:04:55 - 00:04:57]   재벌은 이렇게 놀아야 되나?
[00:05:05 - 00:05:07]   죄송합니다.
[00:05:07 - 00:05:09]   재벌이 이렇게 밖에 못 놉니다.
[00:05:09 - 00:05:11]   용서해 주십시오.
[00:05:16 - 00:05:19]   아, 우리 용사님 안 속이시네.
[00:05:19 - 00:05:21]   베테랑이시네, 베테랑.
[00:05:21 - 00:05:23]   아, 멋있다.
[00:05:23 - 00:05:24]   창피해.
[00:05:27 - 00:05:29]   아, 놀랐지.
[00:05:30 - 00:05:34]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요.
[00:05:35 - 00:05:38]   윤 사장, 조태오 씨 재미있게 사시네.
[00:05:38 - 00:05:43]   태오 씨, 근데 쟤는 짓고 살지 맙시다.
[00:05:45 - 00:05:46]   짠 할까요?
[00:05:51 - 00:05:52]   안 나와서 그런다고.
[00:05:54 - 00:05:56]   다 어렵습니다.
[00:05:56 - 00:06:00]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고,
[00:06:00 - 00:06:03]   올해 감기가 잘 안 좋다는 말을 한 번도 안 뱉는 거야.
[00:06:03 - 00:06:05]   그래서 내가 죽었나요?
[00:06:05 - 00:06:07]   안 죽었잖아.
[00:06:10 - 00:06:13]   야, 어떤 거 갖고 싶냐?
