[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스 쓸거 갈게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:12]   야 화장실 어딨냐
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:23 - 00:00:25]   하마터면 바지에 쌀뻔했네
[00:00:25 - 00:00:27]   빨리 좀 움직이지 그랬냐
[00:00:27 - 00:00:30]   너 새끼 너 아까 저기 낮에 저기
[00:00:30 - 00:00:31]   사장님
[00:00:31 - 00:00:33]   아 야 고생이 많다 야
[00:00:33 - 00:00:35]   야 우리 식구들 아직 안 왔니?
[00:00:35 - 00:00:37]   아니 안 들려? 오냐고
[00:00:39 - 00:00:40]   여보세요
[00:00:40 - 00:00:41]   아 뭐해 안 오고
[00:00:41 - 00:00:43]   야 누구시냐고
[00:00:43 - 00:00:44]   뭐?
[00:00:45 - 00:00:46]   뭐 뒤에서?
[00:00:46 - 00:00:49]   기름도 안 넣고 상황대기 하고 있었다고?
[00:00:49 - 00:00:51]   나 진짜 장난아
[00:00:51 - 00:00:53]   아 빨리 와 배고파 뒤지겠어
[00:00:54 - 00:00:56]   뭐하냐 앉자고
[00:00:56 - 00:00:59]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:00 - 00:01:02]   에이 그러지마
[00:01:03 - 00:01:04]   다쳐
[00:01:23 - 00:01:24]   으악
[00:01:32 - 00:01:33]   에헤이
[00:01:43 - 00:01:44]   놔 놔 놔
[00:01:45 - 00:01:46]   놔 놔
[00:01:46 - 00:01:47]   놔
[00:01:53 - 00:01:54]   아 왜
[00:01:54 - 00:01:55]   왜
[00:01:57 - 00:01:58]   왜
[00:01:58 - 00:01:59]   으악
[00:02:08 - 00:02:10]   으어 혼자 그만
[00:02:10 - 00:02:13]   야 그냥 들어가 왜 불러댕기고 지랄이야
[00:02:13 - 00:02:14]   정신사납게
[00:02:14 - 00:02:15]   차 안 상했어?
[00:02:15 - 00:02:18]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:18 - 00:02:20]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:21 - 00:02:22]   야 이씨
[00:02:22 - 00:02:23]   얘야?
[00:02:24 - 00:02:26]   변호사 불러
[00:02:27 - 00:02:30]   나 전화를 한통만 한다니까 깜빡했네
[00:02:31 - 00:02:32]   부재중이다
[00:02:32 - 00:02:37]   야 손오철 나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:37 - 00:02:39]   아니 잠깐만
[00:02:39 - 00:02:42]   너 이번에도 애 병신 만들면 내가 커버를 못해줘요
[00:02:42 - 00:02:45]   저때 우리 하우스 털었을 때 애 괜히 손대가지고
[00:02:45 - 00:02:48]   걔 지금 밥 먹을 때 턱받이하고 침 질질하면서 밥 먹는다니까
[00:02:49 - 00:02:50]   밥 주면 막 좋아하고
[00:02:51 - 00:02:54]   아 얘 이거 사람 때리고 싶어서 형사되가지고 거체 아픈데 진짜
[00:02:57 - 00:03:00]   들어와 괜찮아 잡아 두손으로
[00:03:01 - 00:03:04]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:05 - 00:03:06]   예?
[00:03:06 - 00:03:08]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:08 - 00:03:10]   정당방위다
[00:03:11 - 00:03:12]   이 새끼가
[00:03:14 - 00:03:17]   말로 해 말로 말로 말로 말로
[00:03:17 - 00:03:18]   놔 놔 놔
[00:03:18 - 00:03:19]   똑바로 앉아
[00:03:19 - 00:03:20]   똑바로 앉아 인마
[00:03:24 - 00:03:26]   힘들지? 타고가
[00:03:27 - 00:03:28]   물 줘?
[00:03:32 - 00:03:34]   나 그 서울가면 할일 많거든
[00:03:34 - 00:03:36]   그냥 타고가자
[00:03:41 - 00:03:42]   빨리 갑시다
[00:03:42 - 00:03:43]   그래
