[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 주킬 수 있을 것 같아요.
[00:00:07 - 00:00:09]   아이고, 살았다.
[00:00:09 - 00:00:11]   야, 화장실. 화장실 어딨어?
[00:00:11 - 00:00:13]   아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:21 - 00:00:22]   뭐야?
[00:00:25 - 00:00:27]   하마터면 바지에 쌀 뻔했네.
[00:00:27 - 00:00:29]   빨리 좀 움직이지 그랬냐.
[00:00:29 - 00:00:32]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:32 - 00:00:33]   사장님.
[00:00:33 - 00:00:35]   고생이 많다, 야.
[00:00:35 - 00:00:37]   우리 식구들 아직 안 왔니?
[00:00:37 - 00:00:39]   아니, 안 들려? 오냐고.
[00:00:41 - 00:00:42]   여보세요.
[00:00:42 - 00:00:43]   뭐해, 안 오고.
[00:00:43 - 00:00:45]   야, 누구시냐고.
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:51]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:51 - 00:00:53]   나 진짜 장난...
[00:00:53 - 00:00:55]   빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:57]   뭐하냐, 안 자고.
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐.
[00:01:01 - 00:01:03]   에이, 그러지 마.
[00:01:04 - 00:01:05]   다쳐.
[00:01:25 - 00:01:26]   놔.
[00:01:49 - 00:01:50]   놔, 놔, 놔.
[00:01:50 - 00:01:51]   놔, 놔, 놔.
[00:01:51 - 00:01:52]   놔.
[00:01:56 - 00:01:58]   놔, 놔, 놔.
[00:02:04 - 00:02:05]   놔.
[00:02:08 - 00:02:09]   놔.
[00:02:15 - 00:02:16]   오, 혼자서 그만.
[00:02:17 - 00:02:18]   야, 들어가.
[00:02:18 - 00:02:20]   왜 폴로 당기고 지랄이야, 정신 사납게.
[00:02:20 - 00:02:21]   차 안 상했어?
