[00:00:00 - 00:00:01]   장비를 꺼내, 아줌마, 빨리.
[00:00:01 - 00:00:05]   잠깐만요, 트렁크에서 주퀘스트를 꺼낼게요.
[00:00:08 - 00:00:10]   아유, 살았다. 야, 화장실.
[00:00:10 - 00:00:12]   야, 화장실 어딨어? 아이고, 진짜.
[00:00:15 - 00:00:16]   깜짝이야.
[00:00:16 - 00:00:17]   누구세요?
[00:00:20 - 00:00:21]   뭐야?
[00:00:24 - 00:00:26]   하마터면 바지에 쌀 뻔했네.
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐.
[00:00:28 - 00:00:31]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:31 - 00:00:32]   사장님.
[00:00:32 - 00:00:34]   아, 야, 고생이 많다, 야.
[00:00:34 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:38]   아니, 안 들려? 오냐고.
[00:00:40 - 00:00:41]   여보세요.
[00:00:41 - 00:00:43]   아, 뭐해, 안 오고.
[00:00:43 - 00:00:45]   야, 누구시냐고.
[00:00:45 - 00:00:47]   뭐?
[00:00:47 - 00:00:48]   뭐, 뒤에서?
[00:00:48 - 00:00:51]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난...
[00:00:52 - 00:00:55]   아, 빨리 와. 배고파, 뒤지겠어.
[00:00:56 - 00:00:57]   뭐하냐, 안 자고?
[00:00:57 - 00:01:00]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:01 - 00:01:03]   에이, 그러지 마.
[00:01:03 - 00:01:05]   다쳐.
[00:01:25 - 00:01:26]   놔.
[00:01:45 - 00:01:47]   놔, 놔, 놔, 놔.
[00:01:47 - 00:01:49]   놔, 놔, 놔, 놔.
[00:01:55 - 00:01:56]   놔, 놔, 놔, 놔.
[00:01:56 - 00:01:59]   놔, 놔, 놔, 놔.
[00:01:59 - 00:02:01]   놔, 놔.
