[00:00:00 - 00:00:02]   담배를 꺼내 아줌마야 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스 쓸 거 갈게요
[00:00:08 - 00:00:10]   아유 살았다 화장실
[00:00:10 - 00:00:12]   화장실 어딨냐
[00:00:16 - 00:00:18]   깜짝이야 누구세요
[00:00:22 - 00:00:23]   뭐야
[00:00:25 - 00:00:27]   하마터면 바지에 쌀 뻔했네
[00:00:28 - 00:00:29]   빨리 좀 움직이지 그랬냐
[00:00:30 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:33 - 00:00:34]   사장님
[00:00:34 - 00:00:35]   고생이 많다야
[00:00:36 - 00:00:37]   우리 식구들 아직 안 왔니
[00:00:37 - 00:00:39]   아니 안 들려 뭐냐고
[00:00:41 - 00:00:42]   여보세요
[00:00:42 - 00:00:44]   뭐해 안 오고
[00:00:44 - 00:00:46]   누구시냐고
[00:00:46 - 00:00:47]   뭐?
[00:00:48 - 00:00:49]   뭐 뒤에서?
[00:00:49 - 00:00:51]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:52 - 00:00:53]   나 진짜 장난
[00:00:53 - 00:00:55]   빨리 와 배고파 뒤지겠어
[00:00:58 - 00:00:59]   뭐하냐 안차고
[00:01:00 - 00:01:02]   너 어디 식구들 이런 거 가지고 작업하냐
[00:01:04 - 00:01:05]   그러지마
[00:01:06 - 00:01:07]   다쳐
[00:01:30 - 00:01:31]   인마
[00:01:33 - 00:01:34]   시끄러워
[00:01:44 - 00:01:46]   차 tomatoes
[00:01:46 - 00:01:47]   예
[00:01:49 - 00:01:50]  혀
[00:01:50 - 00:01:51]   이마로
[00:01:55 - 00:01:56]   삼키라고
[00:02:01 - 00:02:02]   에이씨
[00:02:13 - 00:02:14]   혼자 그만
[00:02:15 - 00:02:16]   야 그냥 들어가
[00:02:16 - 00:02:17]   왜 굴러댕기고 지랄이야
[00:02:17 - 00:02:18]   정신사납게
[00:02:19 - 00:02:20]   차 안상했어?
[00:02:20 - 00:02:21]   형님이 이러니까 맨날
[00:02:21 - 00:02:23]   똥차 소리나 듣고 승진이 안되는거야
[00:02:23 - 00:02:25]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:26 - 00:02:27]   야이씨
[00:02:27 - 00:02:28]   얘야?
[00:02:29 - 00:02:30]   변호사 빌려
[00:02:32 - 00:02:33]   아이씨
[00:02:33 - 00:02:35]   전화를 한통만 한다니까 깜빡했네
[00:02:35 - 00:02:36]   부재중이다
