[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스 쓸거 갈게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:13]   야 화장실 어딨냐 아이고 진짜
[00:00:15 - 00:00:16]   깜짝이야
[00:00:16 - 00:00:17]   누구세요
[00:00:20 - 00:00:21]   뭐야
[00:00:24 - 00:00:26]   하마터면 바지에 쌀뻔했네
[00:00:26 - 00:00:28]   빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:32 - 00:00:33]   사장님
[00:00:33 - 00:00:35]   고생이 많다 야
[00:00:35 - 00:00:36]   우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:39]   아니 안들려? 오냐고
[00:00:40 - 00:00:41]   여보세요
[00:00:41 - 00:00:43]   뭐해 안오고
[00:00:43 - 00:00:45]   누구시냐고
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐 뒤에서?
[00:00:48 - 00:00:51]   기름도 안넣고 상황대기 하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난
[00:00:52 - 00:00:55]   빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:58]   뭐하냐 안차고
[00:00:58 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐
[00:01:02 - 00:01:04]   에이 그러지마
[00:01:05 - 00:01:06]   다쳐
[00:01:26 - 00:01:27]   놔
[00:01:47 - 00:01:48]   놔 놔
[00:01:49 - 00:01:50]   놔 놔
[00:01:56 - 00:01:57]   놔 놔
[00:02:16 - 00:02:17]   야 그냥 들어가
[00:02:17 - 00:02:19]   왜 불러댕기고 지랄이야 정신사납게
[00:02:19 - 00:02:20]   차 안상했어?
[00:02:20 - 00:02:23]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:23 - 00:02:25]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:27 - 00:02:28]   얘야?
[00:02:29 - 00:02:31]   변호사 빌려
[00:02:33 - 00:02:36]   나 전화를 한통 안다니까 깜빡했네
[00:02:36 - 00:02:37]   부재중이네
[00:02:37 - 00:02:39]   야 서도철
[00:02:39 - 00:02:42]   나 전화 한통 올테니까 너 여기 꼼짝말고 있어
[00:02:42 - 00:02:44]   아니 잠깐만
[00:02:44 - 00:02:47]   너 이번에도 애 병신 만들면 내가 카바를 못해줘요
[00:02:47 - 00:02:50]   저때 우리 하우스 털었을때 애 괜히 손대가지고
[00:02:50 - 00:02:54]   걔야 지금 밥 먹을때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:54 - 00:02:56]   밥주면 막 좋아하고
[00:02:56 - 00:03:00]   아 얘 이거 사람 때리고 싶어서 형사되가지고 골치아픈데 진짜
[00:03:03 - 00:03:05]   이리와 괜찮아 임마 잡아
[00:03:05 - 00:03:07]   잡아 두손으로
[00:03:07 - 00:03:11]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:11 - 00:03:12]   예
[00:03:12 - 00:03:15]   그 증금을 일단 내려놓고 내려놔 빨리
[00:03:15 - 00:03:17]   정당방위다
[00:03:18 - 00:03:20]   이놈의 새끼가
[00:03:20 - 00:03:23]   말로해 말로 말로 말로
[00:03:25 - 00:03:27]   똑바로 앉아 똑바로 앉아
[00:03:32 - 00:03:36]   힘들지? 타고가 물줘?
[00:03:40 - 00:03:42]   나 그 서울가면 할일 많거든
[00:03:42 - 00:03:44]   그냥 타고가자
[00:03:48 - 00:03:50]   빨리 빨리 갑시다
[00:03:50 - 00:03:55]   그래 니 친구들하고 같이 타고가면 얼마나 좋아
[00:03:55 - 00:03:57]   가자
[00:03:57 - 00:04:01]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:04:01 - 00:04:04]   조태오 조태오
[00:04:04 - 00:04:06]   혹시 제가 아는 신진물산
