[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:00:02 - 00:00:05]   잠깐만요 트렁크에서 주퀘스트를 꺼낼게요
[00:00:08 - 00:00:10]   아유 살았다 야 화장실
[00:00:10 - 00:00:13]   야 화장실 어딨냐 아이고 진짜
[00:00:16 - 00:00:18]   깜짝이야 누구세요
[00:00:21 - 00:00:22]   뭐야
[00:00:25 - 00:00:27]   하마터면 바지에 쌀뻔했네
[00:00:27 - 00:00:29]   빨리 좀 움직이지 그랬냐
[00:00:29 - 00:00:32]   너 새끼 너 아까 저기 낮에 저기
[00:00:32 - 00:00:33]   사장님
[00:00:33 - 00:00:35]   아 야 고생이 많다 야
[00:00:35 - 00:00:36]   야 우리 식구들 아직 안 왔니?
[00:00:36 - 00:00:39]   아니 안 들려? 오냐고
[00:00:40 - 00:00:41]   여보세요
[00:00:41 - 00:00:43]   아 뭐해 안 오고
[00:00:43 - 00:00:45]   야 누구시냐고
[00:00:45 - 00:00:46]   뭐?
[00:00:47 - 00:00:48]   뭐 뒤에서?
[00:00:48 - 00:00:50]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:51 - 00:00:52]   나 진짜 장난
[00:00:52 - 00:00:55]   아 빨리 와 배고파 뒤지겠어
[00:00:56 - 00:00:58]   뭐하냐 안 자고?
[00:00:58 - 00:01:01]   너 어디 식구들 이런거 가지고 작업하냐?
[00:01:02 - 00:01:06]   에이 그러지마 다쳐
[00:01:26 - 00:01:27]   놔
[00:01:48 - 00:01:49]   놔 놔 놔
[00:01:49 - 00:01:50]   놔 놔 놔
[00:01:50 - 00:01:51]   놔
[00:01:55 - 00:01:56]   놔
[00:02:01 - 00:02:02]   에이
[00:02:13 - 00:02:15]   어허 공장 그만
[00:02:15 - 00:02:16]   야 그냥 들어가
[00:02:16 - 00:02:19]   왜 굴러다니고 지랄이야 정신사납게
[00:02:19 - 00:02:20]   차 안 상했어?
[00:02:20 - 00:02:23]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안되는거야
[00:02:23 - 00:02:25]   내가 그랬지 사람 다쳤나 먼저 물어보라고
[00:02:26 - 00:02:27]   야 이씨
[00:02:27 - 00:02:28]   얘야?
[00:02:29 - 00:02:30]   변호사 빌려
[00:02:32 - 00:02:35]   아이씨 나 전화를 한 통 안다니깐 깜빡했네
[00:02:35 - 00:02:37]   저 부재중이다
[00:02:37 - 00:02:38]   야 서동철
[00:02:38 - 00:02:42]   나 전화 한 통 올테니까 너 여기 꼼짝 말고 있어
[00:02:42 - 00:02:43]   아니 잠깐만
[00:02:44 - 00:02:47]   너 이번에도 애 병신 만들면 내가 카바를 못해줘요
[00:02:47 - 00:02:50]   저때 우리 하우스 털었을 때 애 괜히 손대가지고
[00:02:50 - 00:02:53]   걔야 지금 밥 먹을 때 턱받이하고 침 질질 나면서 밥 먹는다니까
[00:02:54 - 00:02:55]   밥 주면 막 좋아하고
[00:02:56 - 00:02:59]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데 진짜
[00:03:03 - 00:03:05]   이리와 괜찮아 임마 잡어
[00:03:05 - 00:03:06]   잡어 두 손으로
[00:03:07 - 00:03:10]   야 경찰을 때리면 어떡하냐 그것도 등기로
[00:03:11 - 00:03:12]   예
[00:03:12 - 00:03:14]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:15 - 00:03:16]   정당방위다
[00:03:17 - 00:03:18]   이 놈의 새끼가
[00:03:20 - 00:03:23]   말로 해 말로 말로 말로 말로
[00:03:24 - 00:03:26]   똑바로 앉아 똑바로 앉아
[00:03:32 - 00:03:34]   힘들지? 타고 가
[00:03:35 - 00:03:36]   물 줘?
[00:03:40 - 00:03:42]   나 그 서울 가면 할 일 많거든
